Date,Open,High,Low,Close,Adj Close,Volume
2018-05-22,3.970000,3.970000,3.920000,3.920000,3.756223,202200
2018-05-23,3.840000,3.900000,3.840000,3.880000,3.717894,221800
2018-05-24,3.850000,3.870000,3.790000,3.840000,3.679565,265100
2018-05-25,3.770000,3.770000,3.690000,3.760000,3.602907,194400
2018-05-29,3.620000,3.650000,3.550000,3.590000,3.440010,365300
2018-05-30,3.670000,3.670000,3.560000,3.630000,3.478339,339200
2018-05-31,3.600000,3.640000,3.570000,3.600000,3.449592,653000
2018-06-01,3.600000,3.650000,3.570000,3.600000,3.449592,194700
2018-06-04,3.670000,3.670000,3.600000,3.630000,3.478339,323700
2018-06-05,3.580000,3.670000,3.570000,3.650000,3.497503,248900
2018-06-06,3.570000,3.610000,3.570000,3.600000,3.449592,286400
2018-06-07,3.570000,3.640000,3.550000,3.640000,3.487921,524100
2018-06-08,3.540000,3.600000,3.530000,3.560000,3.411263,461900
2018-06-11,3.610000,3.620000,3.560000,3.600000,3.449592,393900
2018-06-12,3.670000,3.700000,3.620000,3.680000,3.526250,677600
2018-06-13,3.630000,3.660000,3.590000,3.610000,3.459174,296600
2018-06-14,3.620000,3.680000,3.620000,3.640000,3.487921,683000
2018-06-15,3.630000,3.650000,3.550000,3.630000,3.478339,535600
2018-06-18,3.560000,3.630000,3.540000,3.620000,3.468756,2543900
2018-06-19,3.430000,3.550000,3.430000,3.540000,3.392099,465500
2018-06-20,3.480000,3.540000,3.460000,3.460000,3.315441,614200
2018-06-21,3.440000,3.470000,3.350000,3.430000,3.286695,288800
2018-06-22,3.470000,3.470000,3.400000,3.440000,3.296277,740000
2018-06-25,3.410000,3.450000,3.380000,3.400000,3.257948,510400
2018-06-26,3.370000,3.380000,3.320000,3.360000,3.219619,455700
2018-06-27,3.280000,3.310000,3.230000,3.250000,3.114215,243800
2018-06-28,3.230000,3.300000,3.210000,3.230000,3.095051,559600
2018-06-29,3.230000,3.280000,3.200000,3.220000,3.085469,3629800
2018-07-02,3.220000,3.220000,3.170000,3.190000,3.056722,398800
2018-07-03,3.200000,3.230000,3.190000,3.210000,3.075886,184300
2018-07-05,3.340000,3.350000,3.300000,3.320000,3.181290,1314200
2018-07-06,3.360000,3.360000,3.320000,3.330000,3.190873,493100
2018-07-09,3.340000,3.360000,3.320000,3.330000,3.190873,4333900
2018-07-10,3.300000,3.330000,3.290000,3.300000,3.162126,4209000
2018-07-11,3.180000,3.200000,3.100000,3.100000,2.970482,13148800
2018-07-12,3.030000,3.050000,3.000000,3.030000,2.903407,15623100
