,Date,Open,High,Low,Close,Adj Close,Volume
532,2018-02-13,4.62,4.63,4.59,4.61,4.417395,322100
533,2018-02-14,4.64,4.7,4.63,4.7,4.503634,157100
534,2018-02-15,4.85,4.88,4.82,4.86,4.65695,141900
535,2018-02-16,4.88,4.93,4.87,4.87,4.666532,199900
536,2018-02-20,4.83,4.83,4.74,4.77,4.57071,193200
537,2018-02-21,4.76,4.78,4.7,4.7,4.503634,329900
538,2018-02-22,4.69,4.74,4.67,4.67,4.474888,161700
539,2018-02-23,4.74,4.76,4.72,4.76,4.561128,221700
540,2018-02-26,4.75,4.77,4.72,4.75,4.551545,309300
541,2018-02-27,4.69,4.69,4.6,4.63,4.436559,289200
542,2018-02-28,4.64,4.67,4.47,4.55,4.359901,183900
543,2018-03-01,4.38,4.43,4.29,4.34,4.158675,264800
544,2018-03-02,4.3,4.36,4.28,4.36,4.17784,277600
545,2018-03-05,4.29,4.37,4.29,4.36,4.17784,234400
546,2018-03-06,4.41,4.41,4.36,4.38,4.197004,186300
547,2018-03-07,4.39,4.42,4.36,4.4,4.216168,127300
548,2018-03-08,4.34,4.35,4.29,4.33,4.149093,158400
549,2018-03-09,4.3,4.36,4.3,4.35,4.168257,169300
550,2018-03-12,4.33,4.35,4.31,4.34,4.158675,320200
551,2018-03-13,4.32,4.32,4.26,4.28,4.101182,339100
552,2018-03-14,4.24,4.26,4.2,4.24,4.062853,144600
553,2018-03-15,4.21,4.21,4.11,4.12,3.947867,1519900
554,2018-03-16,4.11,4.17,4.11,4.14,3.967031,198500
555,2018-03-19,4.17,4.17,4.12,4.16,3.9861949999999995,204300
556,2018-03-20,4.15,4.17,4.12,4.16,3.9861949999999995,232700
557,2018-03-21,4.12,4.15,4.1,4.11,3.9382839999999995,171500
558,2018-03-22,4.07,4.16,4.07,4.12,3.947867,273900
559,2018-03-23,4.14,4.14,4.06,4.06,3.8903730000000003,318800
560,2018-03-26,4.1,4.14,4.07,4.13,3.957449,197500
561,2018-03-27,4.07,4.13,4.04,4.07,3.899956,220500
562,2018-03-28,4.09,4.17,4.08,4.1,3.9287019999999995,177200
563,2018-03-29,4.16,4.17,4.12,4.14,3.967031,204600
564,2018-04-02,4.11,4.15,4.05,4.11,3.9382839999999995,209500
565,2018-04-03,4.15,4.15,4.04,4.09,3.9191199999999995,166500
566,2018-04-04,4.08,4.12,4.06,4.11,3.9382839999999995,179000
567,2018-04-05,4.07,4.12,4.07,4.11,3.9382839999999995,247400
568,2018-04-06,4.07,4.12,4.03,4.06,3.8903730000000003,379900
569,2018-04-09,4.13,4.13,4.05,4.07,3.899956,178700
570,2018-04-10,4.06,4.08,4.02,4.07,3.899956,216700
571,2018-04-11,4.09,4.19,4.08,4.12,3.947867,130100
572,2018-04-12,3.92,3.93,3.89,3.91,3.74664,502000
573,2018-04-13,3.93,3.99,3.91,3.96,3.7945510000000002,341800
574,2018-04-16,3.96,4.0,3.96,4.0,3.8328800000000003,1536000
575,2018-04-17,4.01,4.04,3.98,4.0,3.8328800000000003,537500
576,2018-04-18,4.02,4.05,4.02,4.05,3.8807910000000003,121200
577,2018-04-19,4.1,4.11,4.05,4.09,3.9191199999999995,150300
578,2018-04-20,4.07,4.1,4.04,4.07,3.899956,288600
579,2018-04-23,4.05,4.08,4.03,4.04,3.8712089999999995,165600
580,2018-04-24,4.07,4.07,4.01,4.03,3.8616269999999995,379500
581,2018-04-25,4.05,4.09,4.05,4.05,3.8807910000000003,431100
582,2018-04-26,4.18,4.2,4.15,4.16,3.9861949999999995,308800
583,2018-04-27,4.08,4.13,4.08,4.11,3.9382839999999995,195100
584,2018-04-30,4.13,4.15,4.11,4.13,3.957449,264000
585,2018-05-01,4.02,4.12,4.02,4.12,3.947867,138300
586,2018-05-02,4.1,4.1,4.03,4.04,3.8712089999999995,217100
587,2018-05-03,4.06,4.08,4.02,4.06,3.8903730000000003,226700
588,2018-05-04,4.01,4.04,4.0,4.04,3.8712089999999995,182800
589,2018-05-07,4.0,4.02,3.98,3.99,3.8232980000000003,344500
590,2018-05-08,3.94,3.99,3.93,3.97,3.8041339999999995,185500
591,2018-05-09,3.92,3.96,3.92,3.95,3.7849690000000002,140800
592,2018-05-10,3.94,3.96,3.91,3.93,3.7658050000000003,259800
593,2018-05-11,3.92,3.95,3.89,3.93,3.7658050000000003,228800
594,2018-05-14,3.94,3.95,3.89,3.93,3.7658050000000003,272800
595,2018-05-15,3.89,3.92,3.88,3.88,3.7178940000000003,177600
596,2018-05-16,3.89,3.92,3.87,3.9,3.737058,250400
597,2018-05-17,3.9,3.91,3.84,3.9,3.737058,175300
598,2018-05-18,3.88,3.89,3.81,3.84,3.679565,280400
599,2018-05-21,3.95,3.95,3.87,3.93,3.7658050000000003,159500
600,2018-05-22,3.97,3.97,3.92,3.92,3.7562230000000003,202200
601,2018-05-23,3.84,3.9,3.84,3.88,3.7178940000000003,221800
602,2018-05-24,3.85,3.87,3.79,3.84,3.679565,265100
603,2018-05-25,3.77,3.77,3.69,3.76,3.602907,194400
604,2018-05-29,3.62,3.65,3.55,3.59,3.44001,365300
605,2018-05-30,3.67,3.67,3.56,3.63,3.478339,339200
606,2018-05-31,3.6,3.64,3.57,3.6,3.449592,653000
607,2018-06-01,3.6,3.65,3.57,3.6,3.449592,194700
608,2018-06-04,3.67,3.67,3.6,3.63,3.478339,323700
609,2018-06-05,3.58,3.67,3.57,3.65,3.497503,248900
610,2018-06-06,3.57,3.61,3.57,3.6,3.449592,286400
611,2018-06-07,3.57,3.64,3.55,3.64,3.487921,524100
